Carnet,Nota
9711583,-1
199910871,14
200710721,14
200722421,-2
200915942,16
200916076,-2
200916276,8
200921961,-1
201013444,-2
201013474,-2
201013480,17
201013517,-2
201013675,4
201018707,22
201110186,4
201112052,18
201112080,9
201112322,11
201117060,-1
201119733,-1
201210074,16
201210552,14
201210639,-2
201210711,-2
201210758,-1
201210779,-2
201210858,10
201210909,-2
201210912,13
201220014,9
201310526,-2
201310529,16
201310602,-2
201310629,17
201310639,-2
201310640,15
201310644,20
201310645,11
201310673,-2
201310715,12
201315049,20
201315397,7
201318161,11
201318166,17
201318180,7
201318186,-2
201318304,6
201318322,10
201321726,4
201321738,14
201321746,13
201321747,-1
201321804,2
201322312,5
201330970,8
201345055,7
201400364,8
201400366,7
201400370,2
201400397,12
201400434,5
201400438,10
201400440,-1
201400441,11
201400459,11
201400460,7
201400485,10
201400528,-2
201400562,-1
201400600,2
201400673,17
201400683,3
201400715,6
201407914,18
201407927,5
201407943,12
201408040,-1
201408058,4
201408066,14
201408087,11
201408184,19
201408248,8
201411974,16
201413715,16
201480044,1
201502800,11
201502802,16
201502807,16
201502816,16
201502824,15
201502826,13
201502840,16
201502842,22
201502862,16
201502869,13
201502877,22
201502878,8
201502882,13
201502891,5
201502907,19
201502908,-1
201502915,8
201502927,7
201502931,11
201502934,14
201502936,2
201502954,13
201502976,15
201502979,7
201502990,13
201502993,10
201503001,15
201503005,16
201503007,26
201503033,22
201503040,11
201503041,17
201503043,20
201503044,17
201503051,15
201503073,-2
201503078,19
201503080,15
201503095,20
201503098,17
201503099,18
201503146,9
201503184,13
201503236,20
201503250,11
201503263,14
201503265,23
201503293,4
201503294,17
201503324,14
201503339,11
201513228,19
201513247,6
201513248,14
201513275,9
201513276,13
201513286,10
201513315,17
201513331,17
201513338,14
201513411,10
201513487,13
201513551,14
201513561,-1
201580020,11
201580036,11
201580037,21
