Carnet,Nota
200722421,24
200916276,26
201112052,22
201117060,23
201210074,24
201210779,0
201220014,18
201220325,17
201310142,20
201310529,23
201310602,16
201310645,14
201310674,19
201310710,22
201315049,24
201318183,21
201318186,22
201318304,23
201321726,18
201321738,23
201321745,17
201321802,20
201322312,24
201330970,9
201345055,17
201400370,20
201400427,18
201400434,19
201400438,20
201400459,20
201400460,21
201400485,25
201400525,18
201400600,23
201400700,20
201400715,22
201407923,18
201407927,30
201407941,20
201407942,19
201407980,18
201408040,21
201408058,18
201408066,22
201408087,22
201408184,27
201408248,14
201411974,19
201480044,24
201501353,21
201502800,21
201502802,16
201502807,23
201502816,22
201502824,21
201502826,20
201502840,23
201502842,22
201502862,19
201502869,25
201502877,24
201502878,0
201502882,22
201502884,26
201502891,23
201502907,0
201502908,16
201502915,20
201502927,21
201502931,25
201502934,22
201502936,19
201502954,0
201502976,28
201502979,21
201502990,18
201502993,25
201503001,15
201503005,21
201503007,24
201503033,26
201503040,17
201503041,26
201503043,19
201503044,23
201503051,23
201503073,19
201503078,18
201503080,21
201503095,24
201503098,23
201503099,23
201503146,19
201503184,20
201503209,0
201503236,23
201503250,20
201503263,20
201503265,22
201503267,22
201503293,19
201503294,16
201503324,25
201503339,20
201513228,25
201513247,18
201513248,26
201513275,21
201513276,20
201513286,24
201513315,17
201513331,22
201513338,17
201513411,16
201513418,24
201513487,24
201513551,19
201513561,22
201516923,19
201580020,26
201580036,18
201580037,27
