CARNET ,NOTA 
201513804,16
 201603532,19
201616798,17
201680043,24
 201513358,28
201115035,26
201603438,23
201680044,25
201603437,22
201610725,25
201603727,16
201603545,19
201603417,15
201603441,20
201603472,24
201603509,25
201611085,11
201603531,21
201603483,20
201431578,20
201603374,22
201110486,NSP
201603418,13
201603419,18
201603327,10
201503072,19
201611217,21
201415299,12
201603371,7
201603373,23
201603378,25
201603450,18
201603375,26
201616801,NSP
201513211,13
201503245,NSP
 201616802,22
201603480,23
201407565,NSP
201413680,14
201610971,26
201603506,23
201407994,11
 201603330,12
201603489,23
201610816,16
201616799,21
 201680025,19
201603493,24
 201603318,25
201603384,22
201603309,22
201603510,23
201603490,17
201400465,NSP
201610853,23
201610855,24
201610903,20
201119372,19
201513467,NSP
201407958,22
201408142,19
201603543,21
 201603555,14
201616869,22
201616993,17
201616983,24
 201502837,19
201513238,20
201503175,19
201408747,20
201318384,16
201503323,NSP
201603720,21
201512721,18
201603717,22
201603814,20
201610852,28
201515481,25
201610883,26
201610840,27
201430945,20
201603570,20
201603589,26
201603819,23
 201603610,22
201603513,25
201603320,20
 201603750,24
201603511,NSP
201503071,NSP
201503271,16
201603524,21
201603523,16
201404665,24
201616839,25
 201603574,21
201611263,23
201603685,20
201119731,NSP
200810395,NSP
201603713,NSP
201603613,14
 201603568,12
201611248,NSP
201603548,26
201603738,23
201603517,26
201611025,18
201610933,24
201603578,26
201502866,12
201603635,25
201603637,17
