carnet,nota
200110035,11
200210927,0
200313754,16
200413951,17
200512351,22
200512379,0
200610921,17
200715618,20
200715722,19
200715791,20
200810431,21
200810517,21
200811350,21
200817708,17
200880028,16
200915864,18
200918254,20
201012065,16
201013417,19
201013493,22
201013572,18
201013689,17
201013765,20
201013785,15
201015329,0
201020026,20
201021737,18
201021787,20
201111964,21
201112046,15
201112081,22
201112149,18
201112161,20
201112184,21
201112204,15
201112232,0
201112270,14
201112319,0
201112350,21
201124083,19
201210553,25
201210562,17
201210617,21
201210642,19
201210645,18
201210665,25
201210682,21
201210683,15
201210691,17
201210705,20
201210729,16
201210732,18
201210744,22
201210755,0
201210766,14
201210823,21
201210828,19
201210847,17
201210870,23
201210897,20
201210900,21
201214713,22
201220212,0
201220297,16
201245563,20
201280026,20
201280027,14
201310522,14
201310541,22
201310551,20
201310562,21
201310564,19
201310568,21
201310571,16
201310575,19
201310594,21
201310596,0
201310612,22
201310613,24
201310614,13
201310621,24
201310648,23
201310654,14
201310657,21
201310667,25
201310669,21
201310670,23
201310676,20
201310682,23
201310688,21
201310697,21
201310699,23
201310700,18
201310703,18
201318169,13
201318215,17
201318218,19
201318347,17
201318376,19
201321724,25
201321729,22
201321740,23
201380007,23
201380027,16
201380041,21
