carnet,final,,,,,
200614400,17,,,,,
200718236,11,,,,,
200810431,18,,,,,
200817708,17,,,,,
200915818,18,,,,,
200916289,19,,,,,
200918257,19,,,,,
201013353,20,,,,,
201013477,13,,,,,
201111964,16,,,,,
201112094,14,,,,,
201112149,15,,,,,
201112350,19,,,,,
201124099,20,,,,,
201210538,17,,,,,
201210557,20,,,,,
201210674,20,,,,,
201210691,13,,,,,
201210706,23,,,,,
201210710,24,,,,,
201210718,19,,,,,
201210732,14,,,,,
201210744,15,,,,,
201210756,23,,,,,
201210766,14,,,,,
201210778,19,,,,,
201210834,19,,,,,
201220354,20,,,,,
