Carne;Final
8818125;27
200010198;0
200011847;23
200318850;10
200414065;20
200512358;26
200515232;20
200515350;0
200518107;16
200610616;22
200614400;9
200614626;14
200715463;20
200715500;24
200715765;0
200780043;26
200810495;23
200810590;23
200817309;0
200915854;28
200915895;23
200915988;20
200916143;13
200918192;23
200918196;27
200918257;17
200924182;19
201012302;25
201013353;22
201013442;23
201013475;21
201013477;21
201013479;27
201013609;24
201021738;27
201112041;22
201112094;21
201112131;22
201112136;22
201112170;19
201112200;24
201112233;19
201112274;20
201112278;23
201112291;19
201114635;25
201124099;24
201180038;23
201210538;22
201210557;18
201210563;27
201210565;27
201210602;29
201210646;17
201210650;27
201210674;18
201210675;23
201210681;26
201210695;27
201210702;27
201210706;27
201210709;24
201210710;28
201210715;29
201210718;24
201210739;25
201210742;27
201210754;29
201210756;21
201210773;29
201210778;27
201210783;22
201210794;26
201210834;25
201210882;30
201210905;27
201220328;27
201220335;21
201220354;23
201220425;28
201220445;26
201222437;22
201280028;21
