carnet,I Recuperación,
200718286,11,
200916276,15,
201013444,8,
201013474,4,
201013480,18,
201013517,6,
201112080,14,
201112322,14,
201119733,12,
201220014,12,
201310602,13,
201310639,6,
201310645,11,
201310673,10,
201310715,9,
201318161,11,
201318180,21,
201318186,13,
201318322,8,
201321726,14,
201321738,22,
201321804,12,
201330970,14,
201400366,14,
201400370,11,
201400438,12,
201400441,12,
201400459,15,
201400523,18,
201400528,10,
201400562,7,
201400600,12,
201400683,17,
201407943,12,
201408040,15,
201408248,11,
201502800,20,
201502826,17,
201502908,17,
201502915,8,
201502936,10,
201502979,4,
201502990,18,
201503250,17,
201503263,14,
201503293,14,
201513247,13,
201513561,13,
,,
,,
,,
,,
,,
,,
,,
,,
,,
