Carne,FINAL
200910593,30
201014309,21
201024773,30
201310638,17
201315441,30
201318458,30
201400850,30
201503000,30
201512441,30
201513072,30
201517011,30
201517079,28
201600375,30
201601951,17
201603463,30
201603535,30
201607215,30
201612316,30
201612496,26
201617082,17
201642102,30
201703180,30
201703181,30
201703182,30
201703183,26
201703185,30
201703187,30
201703188,27
201703189,30
201703190,30
201703191,30
201703192,30
201703193,30
201703194,-2
201703195,28
201703196,30
201703197,29
201703198,30
201703199,30
201703201,30
201703202,30
201703203,30
201703204,29
201703205,30
201703207,30
201703209,30
201703210,30
201703211,30
201703213,30
201703214,30
201703215,30
201703216,30
201703217,13
201703220,29
201703222,30
201703223,30
201703224,30
201703225,30
201703226,29
201703228,30
201703231,23
201703233,30
201703234,30
201703235,30
201703238,30
201703239,30
201703240,23
201703243,30
201703246,30
201703249,30
201703255,30
201703256,30
201703288,30
201703292,30
201703305,30
201703306,30
201703314,30
201703316,30
201703325,30
201703328,30
201703334,17
201703339,30
201703340,30
201703344,30
201703360,30
201703365,30
201703394,30
201703400,29
201703407,30
201703408,29
201703409,30
201703412,30
201703414,25
201703416,30
201703420,12
201703423,30
201703424,30
201703426,30
201703428,30
201703430,30
201703433,27
201703441,30
201703442,30
201703449,20
201703467,30
201703469,30
201703478,30
201703483,30
201703491,10
201703492,30
201703495,30
201703497,30
201703503,30
201703508,30
201703511,16
201703516,29
201703521,30
201703531,30
201703532,30
201703537,30
201703540,30
201703545,28
201703556,30
201703586,30
201703587,24
201703618,30
201703621,26
201703627,-2
201703648,30
201703673,30
201703691,30
201708409,30
201708423,30
201708426,30
201708486,25
201708509,30
201708539,19
201708542,30
201708572,30
201708578,30
201708634,24
201713540,18
201780023,30
201780041,30
201780048,24
201780055,24
201780056,30
