carnet,nota
200610568,0
200717835,19
200910572,21
200915915,14
200916250,9
200980037,19
201013493,16
201013572,11
201013765,18
201015329,12
201021787,15
201112046,0
201112204,20
201119229,19
201124083,21
201210405,22
201210665,22
201210672,18
201210729,19
201220212,22
201220265,19
201220297,0
201310523,26
201310541,20
201310566,18
201310575,18
201310596,25
201310706,24
201318284,19
201318347,22
201318470,17
201321741,20
201322103,22
201400373,25
201400383,20
201400384,19
201400385,23
201400389,21
201400435,21
201400449,20
201400458,19
201400468,22
201400470,23
201400497,23
201400499,17
201400535,23
201400537,20
201400552,19
201400557,19
201400580,20
201400584,18
201400606,20
201400634,22
201400654,23
201400661,20
201400685,20
201400708,21
201400756,19
201400785,18
201400788,20
201407984,15
201407988,21
201408038,21
201413001,22
