carnet,nota
200722421,25
200915965,17
201210074,29
201211987,17
201220014,11
201220324,25
201310142,30
201310625,25
201310647,0
201315049,27
201318155,0
201318182,0
201318210,0
201318290,23
201318294,17
201318384,0
201318494,12
201321738,29
201321744,14
201321749,29
201321754,19
201322543,0
201330970,24
201345055,17
201400370,24
201400379,18
201400485,27
201400524,15
201400525,18
201400549,19
201400553,29
201400600,29
201400601,15
201400604,20
201400631,25
201400664,0
201400700,16
201400711,12
201400715,21
201400759,30
201400781,19
201407923,20
201407929,11
201407941,30
201407942,16
201407962,19
201407992,17
201408142,0
201408184,29
201408203,15
201411974,25
201413604,26
201413622,19
201413639,8
201415299,0
201415512,29
201480044,12
201501353,17
201502800,29
201502802,24
201502807,21
201502813,30
201502816,30
201502826,27
201502831,27
201502840,14
201502842,30
201502852,23
201502862,30
201502872,17
201502877,30
201502878,24
201502882,23
201502884,23
201502887,25
201502891,30
201502895,23
201502908,25
201502915,29
201502927,27
201502931,25
201502934,24
201502936,30
201502954,25
201502975,17
201502979,30
201502990,18
201502993,30
201503001,30
201503007,17
201503008,30
201503033,30
201503040,15
201503041,30
201503044,30
201503051,27
201503072,17
201503073,24
201503078,22
201503080,21
201503095,28
201503098,27
201503120,23
201503184,30
201503209,30
201503236,29
201503250,18
201503251,-1
201503263,27
201503265,21
201503267,17
201503293,25
201503294,30
201503324,29
201503339,21
201513228,21
201513240,11
201513241,0
201513247,21
201513248,17
201513275,21
201513276,29
201513286,29
201513315,30
201513331,29
201513338,21
201513341,8
201513376,0
201513411,25
201513468,25
201513483,20
201513551,29
201513561,23
201516851,20
201516923,22
201516986,7
201580020,29
201580036,25
201580037,19
