CARNET,NOTA EXAMEN FINAL 
200314980,-1
200317279,15
200413951,4
200515183,7
200517617,0
200610568,16
200610588,8
200715722,12
200715751,9
200715754,4
200810498,12
200810604,-2
200817535,9
200880004,6
200880028,14
200910572,14
200915860,7
200915864,13
200915915,12
200915942,12
200916250,8
200918254,13
201013493,6
201013689,18
201013765,11
201013785,13
201013807,-1
201015329,19
201021787,5
201112204,14
201112232,8
201112319,5
201119674,10
201210562,-1
201210617,18
201210665,-1
201210682,15
201210705,17
201210847,16
201210870,14
201012065,13
201013409,-1
201214713,18
201220212,-1
201310562,24
201310566,18
201310594,25
201310596,9
201310614,15
201310657,20
201310667,22
201310670,17
201310676,21
201310687,16
201310703,21
201318284,13
201318347,14
201321724,26
201321729,19
8411638,9
201013417,21
201018707,11
201020026,18
201021737,18
201112046,15
201112080,10
201112161,12
201112184,19
201112209,11
201112270,15
201124083,17
201210553,15
201210655,7
201210672,12
201210683,18
201210729,10
201210823,18
201210897,17
201210900,15
201210904,13
201220309,5
201220355,17
201245563,18
201280026,14
201310522,11
201310541,11
201310551,14
201310564,16
201310568,15
201310571,17
201310575,11
201310612,19
201310613,16
201310621,17
201310648,19
201310654,19
201310669,21
201310682,14
201310688,12
201310697,13
201310699,17
201310700,19
201318169,14
201318215,16
201318218,16
201318376,18
201321740,12
201380007,21
201380027,13
201380041,14
