Carnet,NOTA
200314980,-1
200413951,12
200610568,15
200610588,10
200614342,-1
200715577,22
200715618,17
200718297,-1
200810417,4
200817535,SDE
200880004,10
200880028,6
200915864,16
200915942,16
200916113,SDE
200916165,SDE
200916250,-1
200918254,19
200980037,11
201012065,17
201013417,18
201013493,15
201013765,10
201013807,12
201020026,12
201021787,7
201112046,-1
201112184,18
201112204,6
201112232,17
201112248,21
201119674,10
201180011,SDE
201210553,20
201210562,-1
201210617,10
201210642,11
201210645,18
201210655,8
201210665,8
201210672,15
201210682,12
201210683,16
201210705,11
201210729,16
201210740,-1
201210823,17
201210847,11
201210870,17
201210897,14
201210900,21
201210904,16
201214713,18
201220212,11
201220297,10
201220309,5
201220355,17
201245563,23
201280026,16
201280027,18
201310522,13
201310541,20
201310551,11
201310562,23
201310564,15
201310568,16
201310571,15
201310575,13
201310594,26
201310596,11
201310612,14
201310613,15
201310614,12
201310621,17
201310630,6
201310648,20
201310654,13
201310657,16
201310667,16
201310669,22
201310670,16
201310676,13
201310682,18
201310687,7
201310688,19
201310697,18
201310699,15
201310700,23
201310703,15
201318169,22
201318215,10
201318218,11
201318284,15
201318347,14
201318376,16
201321724,26
201321729,17
201321740,18
201380007,23
201380027,18
201380041,15
