Carnet,
200413951,11
200610568,10
200610588,9
200810417,7
200880004,6
200880028,10
200915942,15
200916250,12
200980037,18
201012065,17
201013493,16
201013765,12
201013807,7
201020026,15
201021787,11
201112204,16
201112232,10
201210562,10
201210617,17
201210642,7
201210655,13
201210665,15
201210683,13
201210729,16
201210740,0
201210847,25
201210900,11
201220212,13
201220297,16
201220309,6
201280026,24
201310575,13
201310614,15
201310630,15
201318215,20
201318347,17
201321740,26
