carnet,nota
200717835,15
200800378,0
200830845,12
200910790,14
200942698,20
201013474,11
201013480,11
201025011,13
201110186,12
201112052,12
201112330,18
201117060,13
201119229,14
201210405,13
201210625,-1
201210711,12
201210748,11
201210764,13
201210858,24
201210909,12
201214921,19
201220325,14
201310538,13
201310569,13
201310602,12
201310629,13
201310640,9
201310644,13
201310674,17
201310691,10
201310706,20
201310709,15
201310710,13
201310715,19
201315397,13
201318161,0
201318166,16
201318180,6
201318183,18
201318186,15
201318227,12
201318267,0
201318304,11
201318322,17
201318467,12
201321726,8
201321733,12
201321741,18
201321745,11
201321746,18
201321747,17
201321804,11
201322103,16
201400364,14
201400366,10
201400373,23
201400383,19
201400384,20
201400385,22
201400389,18
201400397,16
201400427,0
201400435,9
201400438,13
201400440,9
201400441,14
201400449,14
201400458,17
201400463,14
201400468,19
201400470,20
201400497,14
201400499,13
201400508,12
201400523,12
201400528,17
201400535,23
201400537,24
201400541,16
201400552,15
201400557,19
201400562,14
201400580,27
201400584,18
201400606,15
201400634,17
201400651,17
201400654,22
201400661,19
201400673,12
201400680,17
201400683,13
201400685,17
201400691,12
201400708,13
201400756,17
201400785,19
201400788,12
201407914,12
201407927,11
201407943,16
201407955,19
201407959,19
201407970,17
201407984,17
201407988,17
201408038,12
201413001,17
201413715,18
