Carne,EXAMEN
201580037,27
201580036,14
201580020,18
201516923,16
201513561,12
201513551,18
201513487,18
201513483,6
201513468,0
201513418,11
201513411,24
201513338,15
201513331,17
201513315,17
201513286,17
201513276,17
201513275,13
201513248,21
201513247,14
201513228,23
201503339,19
201503324,23
201503294,17
201503293,19
201503267,17
201503265,19
201503263,22
201503250,15
201503236,18
201503209,4
201503184,22
201503146,21
201503099,18
201503098,19
201503095,21
201503080,20
201503078,19
201503073,20
201503051,23
201503044,26
201503043,26
201503041,20
201503040,12
201503033,27
201503007,23
201503005,25
201503001,21
201502993,21
201502990,14
201502979,11
201502976,23
201502954,20
201502936,18
201502934,15
201502931,19
201502927,8
201502915,8
201502908,15
201502907,16
201502891,9
201502887,8
201502884,20
201502882,20
201502878,14
201502877,21
201502869,24
201502862,21
201502842,22
201502840,19
201502826,15
201502824,17
201502816,23
201502807,12
201502802,14
201502800,20
201502799,15
201501353,17
201480044,23
201415512,9
201411974,15
201408248,11
201408184,7
201408087,8
201408066,10
201408058,18
201408040,19
201407992,7
201407980,16
201407942,13
201407941,6
201407923,14
201400715,21
201400600,16
201400525,8
201400485,15
201400460,11
201400459,20
201400434,13
201400427,11
201400370,14
201345055,11
201330970,20
201322312,7
201321802,18
201321749,3
201321738,16
201318304,6
201315049,20
201310645,15
201310529,24
201220324,8
201220014,8
201210074,20
200916276,16
200722421,16
199910871,18
201400700,14
200680047,20
