carnet,nota
200313601,0
200314980,25
200817684,13
200910572,20
200916076,24
200918238,21
201013474,12
201013765,24
201013776,0
201018707,23
201021759,19
201112192,19
201112322,22
201210552,23
201210553,24
201210617,19
201210665,21
201210672,20
201210680,24
201210740,17
201210758,17
201210772,14
201210779,19
201210823,20
201210912,21
201214713,23
201220212,18
201220265,24
201245563,16
201310522,19
201310523,25
201310526,24
201310541,20
201310551,23
201310562,26
201310564,20
201310566,22
201310567,22
201310568,22
201310571,24
201310575,25
201310594,26
201310596,23
201310612,16
201310613,21
201310614,19
201310621,23
201310624,21
201310630,18
201310639,24
201310648,17
201310654,19
201310657,24
201310667,24
201310669,15
201310670,26
201310673,23
201310676,24
201310682,21
201310687,21
201310688,28
201310697,23
201310699,22
201310700,19
201310703,22
201318169,14
201318211,20
201318215,24
201318218,21
201318284,18
201318347,23
201318376,21
201318470,17
201321724,24
201321729,22
201321734,24
201321740,22
201380007,24
201380027,16
201380041,25
