CARNE,FINAL
200717835,23
200910790,21
200915932,19
200942698,24
201013480,20
201013517,22
201013758,0
201110186,18
201112052,20
201112330,24
201119229,19
201210405,22
201210540,21
201210639,17
201210670,18
201210764,21
201210858,23
201210909,15
201214921,21
201310538,19
201310569,21
201310599,14
201310629,20
201310640,21
201310644,23
201310691,19
201310706,22
201310709,18
201310715,22
201315397,19
201318161,18
201318166,20
201318180,15
201318281,21
201318322,16
201318467,22
201321733,22
201321741,21
201321746,22
201321747,20
201321804,0
201322103,21
201400364,20
201400366,24
201400373,21
201400383,20
201400384,21
201400385,21
201400389,23
201400397,16
201400435,23
201400440,20
201400441,16
201400449,18
201400458,23
201400463,20
201400468,21
201400470,24
201400497,24
201400499,23
201400508,21
201400523,20
201400528,21
201400535,22
201400537,23
201400541,20
201400552,18
201400557,22
201400562,22
201400580,21
201400584,23
201400606,21
201400634,22
201400651,20
201400654,22
201400661,17
201400673,21
201400680,22
201400683,20
201400685,21
201400691,19
201400708,23
201400756,21
201400785,20
201400788,20
201407914,19
201407943,13
201407955,24
201407959,20
201407970,25
201407984,20
201407988,25
201408038,20
201413001,25
201413715,24
