CARNET,notas finales
200680047,-2
200717835,23
200830845,-1
200910790,8
200915940,5
200942698,12
201013480,7
201013758,15
201021759,10
201025011,15
201110186,13
201112052,7
201112330,18
201117060,-2
201119229,17
201210405,7
201210625,-1
201210639,8
201210670,8
201210711,0
201210748,4
201210764,5
201210858,13
201214921,17
201220325,14
201310538,8
201310569,4
201310599,3
201310602,10
201310629,9
201310639,11
201310640,10
201310644,3
201310674,5
201310691,-1
201310706,10
201310709,6
201310710,13
201310715,5
201315397,17
201318161,22
201318166,8
201318180,4
201318183,-1
201318186,7
201318227,-2
201318267,17
201318304,8
201318322,3
201318467,19
201321726,9
201321733,14
201321741,12
201321745,0
201321746,11
201321747,14
201321804,2
201322103,12
201400364,11
201400366,15
201400373,18
201400383,12
201400384,15
201400385,26
201400389,14
201400397,3
201400427,-2
201400435,16
201400438,15
201400440,4
201400441,9
201400449,17
201400458,8
201400463,8
201400468,19
201400470,16
201400497,23
201400499,13
201400508,6
201400523,6
201400528,26
201400535,20
201400537,20
201400541,17
201400552,17
201400557,22
201400562,10
201400580,30
201400584,18
201400606,12
201400634,26
201400651,26
201400654,20
201400661,11
201400673,14
201400680,14
201400683,9
201400685,17
201400691,13
201400708,26
201400756,13
201400785,15
201400788,23
201407914,15
201407927,5
201407943,14
201407955,19
201407959,14
201407970,26
201407984,16
201407988,6
201408038,7
201413001,20
201413715,13
