Carnet,Final
201211987,16
201318294,14
201318384,18
201321744,14
201325590,18
201400379,14
201400410,NSP
201400664,NSP
201400711,19
201400781,15
201404665,13
201408142,14
201413622,17
201413680,15
201431578,22
201502852,19
201502872,13
201503334,9
201503359,15
201512721,19
201513238,15
201513240,14
201513241,15
201513341,15
201513358,15
201515481,16
201516851,18
201603318,17
201603373,21
201603374,14
201603375,20
201603378,19
201603384,19
201603417,17
201603419,18
201603437,21
201603441,21
201603450,17
201603472,11
201603480,21
201603483,8
201603489,19
201603493,15
201603506,16
201603509,16
201603510,17
201603513,16
201603517,18
201603523,16
201603531,22
201603532,14
201603543,17
201603548,17
201603570,18
201603574,17
201603578,17
201603589,19
201603610,19
201603635,21
201603717,13
201603720,11
201603738,15
201603750,19
201603814,14
201610725,16
201610816,14
201610852,19
201610853,19
201610855,16
201610869,20
201610883,13
201610903,19
201610933,19
201610971,20
201611217,22
201611263,18
201616802,20
201616839,18
201616869,15
201616983,18
201616993,15
201680025,20
201680043,20
201680044,17
